ID;Age;Exp;RMM;F;DM;Educ;CEL;PP
678;46;21;204;2;2800;1;Non;Non
679;52;27;61;4;1800;3;Non;Non
680;55;31;103;3;1800;2;Non;Non
681;61;36;51;3;1500;1;Non;Non
682;34;9;164;1;6000;3;Non;Oui
683;58;34;12;1;100;2;Non;Non
684;40;16;82;1;3600;2;Non;Non
685;43;17;164;1;2400;1;Non;Non
686;35;8;48;2;1670;2;Non;Non
687;24;-1;38;4;600;2;Non;Non
688;48;22;65;2;1500;2;Non;Non
689;44;20;71;4;1900;1;Non;Non
690;54;30;18;1;300;1;Oui;Non
691;59;34;52;2;1600;3;Non;Non
692;45;18;48;3;2500;2;Non;Non
693;26;2;30;1;1000;3;Non;Non
694;40;15;40;2;2200;3;Non;Non
695;32;7;112;1;3800;1;Non;Non
696;29;4;115;1;1900;1;Non;Non
697;51;27;63;2;1000;3;Non;Non
698;42;17;85;1;3700;3;Non;Non
699;64;38;59;1;2500;3;Non;Non
700;44;20;68;1;800;3;Non;Non
701;37;11;84;2;1800;1;Non;Non
702;44;19;62;3;800;3;Non;Non
703;35;9;109;3;4000;1;Non;Oui
704;41;17;141;2;7600;1;Non;Non
705;56;32;129;1;7400;1;Non;Non
706;62;36;30;3;700;2;Non;Non
707;58;34;148;1;4700;1;Non;Non
708;47;20;25;3;670;2;Non;Non
709;35;10;21;3;1300;1;Non;Non
710;29;4;72;4;2200;1;Non;Non
711;43;17;59;3;900;3;Non;Non
712;62;37;83;3;1800;2;Non;Non
713;41;16;10;2;300;2;Non;Non
714;34;9;84;3;600;2;Non;Non
715;50;23;98;3;2000;2;Non;Non
716;47;23;32;1;1000;1;Oui;Non
717;29;5;31;4;400;2;Non;Non
718;59;34;94;3;500;1;Non;Non
719;56;31;21;2;200;3;Oui;Non
720;61;35;110;3;4400;1;Non;Non
721;58;32;38;1;2200;3;Non;Non
722;49;24;39;1;1400;3;Non;Non
723;45;21;132;3;1200;2;Oui;Oui
724;50;24;61;4;2600;1;Non;Non
725;64;38;92;1;2000;1;Non;Non
726;39;15;119;2;6100;1;Non;Non
727;58;33;53;4;2100;1;Non;Non
728;62;37;18;3;1300;2;Non;Non
729;45;20;114;2;4400;2;Non;Oui
730;58;28;90;1;3000;3;Non;Non
731;43;18;140;1;7000;1;Non;Non
732;28;3;90;2;3300;1;Non;Non
733;26;1;85;1;1900;1;Non;Non
734;49;24;80;1;1200;1;Non;Non
735;66;42;53;2;1100;1;Non;Non
736;33;7;49;4;2200;2;Non;Non
737;61;35;152;3;3300;3;Non;Oui
738;64;37;138;2;2800;2;Non;Oui
739;36;10;80;4;2200;2;Non;Non
740;49;23;82;2;2400;2;Non;Non
741;52;27;195;1;8100;1;Non;Non
742;61;37;22;1;1200;3;Non;Non
743;32;6;81;1;2500;1;Non;Non
744;61;37;40;4;2200;1;Oui;Non
745;45;20;154;2;2800;1;Non;Non
746;30;4;49;3;1100;2;Non;Non
747;62;37;85;4;3400;2;Non;Non
748;57;32;21;3;100;2;Oui;Non
749;41;17;14;1;1000;1;Non;Non
750;58;34;60;4;1600;2;Non;Non
751;29;5;138;2;4330;1;Non;Non
752;53;28;98;1;1300;3;Non;Non
753;64;39;22;4;600;2;Non;Non
754;49;23;49;1;1200;2;Non;Non
755;38;14;102;2;1900;1;Oui;Non
756;56;30;45;4;700;2;Non;Non
757;56;31;82;4;1300;3;Non;Non
758;52;28;81;3;1800;2;Non;Non
759;64;39;35;1;1500;2;Non;Non
760;53;28;59;2;1900;2;Non;Non
761;29;3;52;3;1100;2;Non;Non
762;48;24;84;3;700;1;Non;Non
763;32;6;85;1;2700;2;Non;Non
764;54;28;65;1;200;1;Non;Non
765;37;13;89;2;1700;2;Non;Non
766;47;21;109;4;1800;1;Non;Oui
767;37;12;81;1;2800;1;Non;Non
768;64;39;38;1;1100;3;Non;Non
769;43;19;72;2;1700;1;Non;Non
770;33;6;78;4;2000;2;Non;Non
771;26;2;172;2;6900;2;Non;Oui
772;42;18;71;3;2330;1;Non;Non
773;54;28;165;1;4100;3;Oui;Oui
774;41;16;120;2;3900;1;Non;Non
775;55;29;39;1;200;1;Non;Non
776;65;39;23;3;700;2;Non;Non
777;50;26;135;2;4600;3;Non;Oui
778;55;31;12;2;200;1;Non;Non
779;62;36;92;2;700;2;Non;Non
780;53;28;192;2;6400;3;Non;Oui
781;32;7;42;4;800;1;Non;Non
782;56;32;158;3;3700;3;Non;Oui
783;54;30;194;3;6000;3;Oui;Oui
784;44;20;160;2;7600;1;Non;Non
785;48;22;98;2;6300;1;Non;Non
786;46;22;164;2;7600;1;Oui;Non
787;45;21;42;2;2500;1;Non;Non
788;45;15;202;3;10000;3;Non;Oui
789;58;34;10;4;700;1;Non;Non
790;29;3;31;4;300;2;Non;Non
791;55;30;58;4;900;1;Non;Non
792;55;29;65;4;2800;2;Non;Non
793;41;16;98;1;4000;3;Non;Non
794;24;-2;150;2;2000;1;Non;Non
795;54;29;44;2;2300;3;Non;Non
796;57;32;15;2;200;3;Non;Non
797;30;6;82;2;2500;1;Non;Non
798;42;17;61;3;500;3;Non;Non
799;29;2;38;1;2000;2;Non;Non
800;29;3;39;4;2100;3;Non;Non
801;31;7;173;1;6000;1;Non;Non
802;47;23;8;4;200;1;Non;Non
803;36;12;51;3;2000;1;Non;Non
804;52;27;62;4;1800;3;Non;Non
805;54;28;34;4;700;2;Non;Non
806;55;29;132;3;5900;2;Non;Oui
807;53;27;44;4;1500;3;Non;Non
808;52;27;162;1;8100;1;Non;Non
809;64;39;64;3;2200;1;Non;Non
810;54;29;111;1;100;3;Non;Non
811;32;6;41;2;2000;3;Non;Non
812;63;33;52;4;1670;3;Non;Non
813;36;10;65;4;2200;2;Non;Non
814;50;25;130;1;1100;2;Non;Oui
815;33;8;45;2;100;1;Non;Non
816;62;38;35;1;1900;2;Non;Non
817;49;23;65;3;700;2;Non;Non
818;41;15;38;2;700;1;Non;Non
819;51;27;42;4;1100;2;Non;Non
820;56;30;45;4;1500;3;Non;Non
821;51;25;145;1;300;1;Non;Non
822;39;13;33;4;1500;3;Non;Non
823;61;35;60;3;1400;3;Non;Non
824;35;9;45;1;2000;1;Non;Non
825;39;15;72;4;2400;1;Non;Non
826;37;11;34;3;200;2;Non;Non
827;48;21;23;3;670;2;Non;Non
828;63;37;45;2;1000;3;Non;Non
829;35;9;28;4;1000;1;Non;Non
830;55;30;81;4;3800;2;Non;Non
831;29;5;72;3;700;2;Non;Non
832;61;31;49;4;1670;3;Non;Non
833;36;10;31;4;1200;2;Non;Non
834;61;35;63;3;2200;3;Non;Non
835;36;12;150;4;5400;1;Oui;Oui
836;58;33;142;2;3900;1;Non;Non
837;42;17;74;3;3000;1;Non;Non
838;30;4;24;1;400;2;Non;Non
839;45;20;29;4;1900;3;Non;Non
840;39;15;79;4;2400;1;Non;Non
841;27;3;94;2;200;1;Non;Non
842;57;33;121;1;4300;1;Non;Non
843;34;10;54;3;2000;1;Non;Non
844;64;39;73;3;2400;1;Non;Non
845;47;23;71;1;800;3;Non;Non
846;44;17;29;3;1000;2;Non;Non
847;51;27;93;1;2700;1;Non;Non
848;40;14;73;1;1500;3;Non;Non
849;57;32;19;4;900;2;Non;Non
850;33;8;58;2;100;1;Oui;Non
851;46;20;39;1;200;1;Non;Non
852;41;16;23;2;1400;2;Non;Non
853;33;7;29;1;600;3;Non;Non
854;27;2;155;1;800;1;Non;Non
855;52;28;90;1;2600;2;Non;Non
856;59;33;113;2;2000;1;Non;Non
857;62;38;42;1;1800;3;Non;Non
858;49;25;30;4;200;1;Oui;Non
859;45;19;19;3;500;2;Non;Non
860;63;37;124;3;5000;2;Non;Oui
861;57;31;30;2;700;2;Non;Non
862;60;30;28;1;1500;3;Non;Non
863;50;23;15;2;1000;2;Non;Non
864;54;30;70;1;1600;3;Non;Non
865;28;2;10;1;100;2;Non;Non
866;60;34;22;3;300;3;Non;Non
867;44;20;70;4;1900;1;Non;Non
868;61;35;61;1;1600;1;Non;Non
869;40;15;161;2;3300;1;Non;Non
870;54;30;29;2;800;1;Non;Non
871;43;19;35;3;500;1;Non;Non
872;54;28;48;4;2800;2;Non;Non
873;32;7;44;4;800;1;Non;Non
874;24;0;88;3;800;1;Non;Non
875;30;4;40;4;2100;3;Non;Non
876;61;36;21;4;400;2;Non;Non
877;40;14;58;2;2800;1;Non;Non
878;35;11;59;4;100;2;Non;Non
879;33;3;74;4;4000;3;Non;Non
880;63;37;84;4;1900;2;Non;Non
881;57;31;58;1;200;1;Non;Non
882;44;19;154;2;8800;1;Non;Non
883;51;25;185;1;1700;1;Non;Non
884;51;26;78;1;1200;1;Non;Non
885;38;13;55;2;1100;2;Non;Non
886;31;5;30;4;300;2;Non;Non
887;54;29;74;3;2000;2;Non;Non
888;41;16;118;2;3300;1;Non;Non
889;57;33;182;2;3300;3;Non;Oui
890;24;-2;82;2;1600;3;Non;Non
891;55;29;29;4;1500;3;Non;Non
892;32;6;120;4;5400;1;Oui;Oui
893;38;12;53;2;2400;2;Non;Non
894;58;32;43;3;1400;1;Non;Non
895;29;4;59;4;2200;1;Non;Non
896;43;17;84;4;2600;3;Oui;Non
897;50;24;161;3;3400;1;Non;Oui
898;62;37;21;4;400;2;Non;Non
899;57;32;63;4;700;1;Non;Non
900;30;3;172;3;3400;2;Non;Oui
901;30;4;51;4;200;1;Non;Non
902;57;33;24;4;700;1;Non;Non
903;57;33;95;2;1600;1;Non;Non
904;43;18;59;1;2400;1;Non;Non
905;28;2;51;4;1800;2;Non;Non
906;46;22;28;1;1000;1;Non;Non
907;29;3;154;2;2000;1;Non;Non
908;64;40;15;2;300;3;Non;Non
909;66;36;55;4;1670;3;Non;Non
910;23;-1;149;1;6330;1;Non;Non
911;60;36;79;1;1800;3;Non;Non
912;47;21;68;4;2600;3;Non;Non
913;35;10;78;1;2600;2;Non;Non
914;57;32;34;2;2000;2;Non;Non
915;65;41;195;3;400;1;Oui;Oui
916;53;28;184;1;8100;1;Non;Non
917;44;20;85;2;3200;1;Non;Non
918;45;20;200;2;8800;1;Non;Non
919;41;16;64;3;500;3;Non;Non
920;51;27;88;1;2600;2;Non;Non
921;27;1;42;3;2400;2;Non;Non
922;31;5;91;3;1600;1;Non;Non
923;32;6;38;1;300;1;Oui;Non
924;55;30;28;1;1500;2;Non;Non
925;55;30;32;4;100;3;Non;Non
926;42;18;31;1;300;3;Non;Non
927;33;9;22;4;400;2;Non;Non
928;65;40;95;3;3700;2;Non;Oui
929;35;10;74;4;1300;1;Non;Non
930;55;30;22;1;1500;2;Non;Non
931;28;4;43;3;100;2;Non;Non
932;27;3;43;1;1000;3;Non;Non
933;51;27;112;3;1800;2;Oui;Non
934;50;23;9;2;1000;2;Non;Non
936;46;20;131;1;5700;1;Non;Non
937;62;32;19;1;1500;3;Non;Non
938;38;13;62;3;700;2;Non;Non
939;62;37;19;4;400;2;Non;Non
940;56;32;8;2;300;1;Non;Non
941;61;36;193;1;4700;3;Non;Oui
942;38;13;129;4;4400;1;Non;Oui
943;55;29;30;4;700;2;Non;Non
944;30;4;80;4;1800;2;Non;Non
945;41;15;22;4;1500;3;Non;Non
946;57;32;33;1;1500;2;Non;Non
947;36;11;64;4;2100;3;Non;Non
948;55;29;60;3;2200;3;Non;Non
949;30;4;81;1;2900;3;Non;Non
950;40;16;45;3;600;2;Non;Non
951;32;6;112;4;1800;2;Non;Non
952;59;34;83;2;3400;3;Non;Oui
953;44;20;180;2;7600;1;Non;Non
954;51;26;28;4;200;2;Non;Non
955;37;12;169;2;5200;3;Non;Oui
956;59;35;14;4;700;1;Non;Non
957;37;11;43;1;2000;1;Non;Non
958;56;32;88;2;300;1;Non;Non
959;55;29;78;4;2600;3;Non;Non
960;49;24;68;1;200;2;Non;Non
961;46;22;144;2;3300;1;Non;Non
962;35;9;30;4;1000;1;Non;Non
964;39;14;24;2;300;2;Non;Non
965;27;1;78;4;2300;3;Non;Non
966;62;36;135;2;5200;2;Non;Oui
967;57;32;44;2;1600;3;Non;Non
968;55;30;73;4;3800;2;Non;Non
969;55;31;90;1;2700;2;Non;Non
970;41;15;58;3;500;3;Non;Non
971;57;32;75;2;3700;1;Non;Non
972;43;19;174;3;1700;3;Oui;Oui
973;40;16;50;2;1700;1;Non;Non
974;43;18;85;1;4000;3;Non;Non
975;63;38;54;3;2200;1;Non;Non
976;63;38;83;2;3400;1;Non;Oui
977;54;30;24;4;200;1;Non;Non
978;54;30;45;4;1100;2;Non;Non
979;52;26;68;1;800;3;Non;Non
980;50;26;48;4;100;3;Non;Non
981;38;13;114;1;1000;3;Non;Non
982;36;12;142;3;2300;2;Oui;Oui
983;58;33;52;3;500;2;Non;Non
984;46;22;142;2;3300;1;Non;Non
985;50;25;15;1;400;3;Non;Non
986;46;22;118;1;4700;1;Non;Non
987;53;27;101;4;4900;1;Non;Non
988;62;36;84;2;2800;1;Non;Non
989;63;39;32;1;1900;2;Non;Non
990;42;16;64;3;500;3;Non;Non
991;34;10;81;4;3400;1;Non;Non
992;40;14;28;4;1500;3;Non;Non
994;41;15;185;1;3600;2;Non;Oui
995;32;8;42;1;1800;2;Non;Non
996;28;3;45;2;1600;3;Non;Non
997;33;6;49;2;1670;2;Non;Non
998;46;20;69;3;2100;1;Non;Non
999;52;27;94;1;2800;2;Non;Non
1000;60;35;18;1;1500;2;Non;Non
1001;59;35;8;4;700;1;Non;Non
1002;57;32;55;4;2100;1;Non;Non
1003;46;20;85;2;400;3;Non;Non
1005;53;23;65;4;2000;3;Non;Non
1007;63;38;103;1;2500;1;Non;Non
1008;44;19;99;3;3500;3;Non;Oui
1009;50;24;152;1;7300;1;Non;Non
1010;28;3;25;2;900;3;Non;Non
1011;27;3;98;2;2500;1;Oui;Non
1012;52;27;39;2;700;2;Non;Non
1013;50;25;40;1;1300;2;Non;Non
1014;39;13;58;3;2100;1;Non;Non
1015;50;26;192;2;1800;3;Oui;Oui
1016;60;34;62;1;800;2;Non;Non
1017;30;5;69;1;800;2;Non;Non
1018;31;5;40;4;1300;3;Non;Non
1019;39;15;61;2;600;3;Non;Non
1020;29;3;30;4;300;2;Non;Non
1021;54;29;29;1;1500;2;Non;Non
1022;35;8;41;2;1000;2;Non;Non
1023;27;3;118;1;3300;2;Non;Oui
1024;45;20;109;1;7000;1;Non;Non
1025;58;33;122;4;200;2;Oui;Oui
1026;62;37;50;3;1500;1;Non;Non
1027;28;4;43;3;100;2;Non;Non
1028;32;7;108;1;4600;1;Non;Non
1029;29;4;110;4;2500;3;Non;Oui
1030;41;17;20;1;1400;3;Non;Non
1031;61;35;112;4;1700;3;Non;Non
1032;56;32;25;1;100;2;Non;Non
1033;37;12;42;3;700;2;Non;Non
1034;60;34;29;2;300;1;Non;Non
1035;49;23;84;3;2100;1;Non;Non
1036;43;17;81;4;2600;3;Non;Non
1037;53;28;55;4;900;1;Non;Non
1038;35;11;40;1;2400;2;Non;Non
1039;56;30;145;4;5700;2;Oui;Oui
1040;41;16;175;2;1100;3;Non;Oui
1041;36;6;78;4;1800;3;Non;Non
1042;56;32;51;4;1500;1;Non;Non
1043;64;34;50;4;1670;3;Non;Non
1044;51;27;21;3;400;1;Non;Non
1045;49;24;79;1;200;2;Non;Non
1046;43;18;84;1;4000;3;Non;Non
1047;51;26;34;4;400;2;Non;Non
1048;55;31;73;4;1600;2;Non;Non
1049;62;37;90;3;500;1;Non;Non
1050;35;10;23;4;200;3;Non;Non
1051;53;27;145;2;6100;3;Oui;Oui
1052;33;7;54;4;200;1;Non;Non
1053;43;17;49;3;2200;2;Non;Non
1054;58;32;51;1;2800;2;Non;Non
1055;63;38;8;4;600;2;Non;Non
1056;31;6;62;1;1000;1;Non;Non
1057;36;6;25;1;670;3;Non;Non
1058;30;0;63;2;1750;3;Non;Non
1059;59;34;24;2;200;3;Non;Non
1060;28;2;11;1;100;2;Non;Non
1061;59;34;23;1;100;1;Non;Non
1062;47;22;33;1;1400;3;Non;Non
1063;47;21;83;1;3800;1;Non;Oui
1064;56;30;39;3;1400;1;Non;Non
1065;41;17;138;3;6900;2;Non;Oui
1066;25;1;113;3;2500;1;Non;Non
1067;30;5;125;4;500;3;Oui;Oui
1068;50;24;195;1;1700;1;Non;Non
1069;34;9;105;3;1200;3;Non;Non
1070;44;18;75;2;3500;1;Non;Oui
1071;36;9;40;2;1000;2;Non;Non
1072;39;14;61;3;500;3;Non;Non
1073;54;24;75;2;4500;3;Non;Non
1075;39;14;75;3;3000;1;Non;Non
1076;41;15;59;4;200;3;Non;Non
1077;40;13;24;3;1000;2;Non;Non
1078;29;3;175;3;3300;3;Non;Oui
1079;51;27;39;2;800;1;Non;Non
1080;54;30;145;2;6800;1;Non;Non
1081;47;22;24;4;400;2;Non;Non
1082;53;28;20;3;100;2;Non;Non
1083;30;5;85;1;2600;2;Non;Non
1084;28;3;65;3;2600;3;Non;Non
1085;60;35;191;4;5600;3;Non;Oui
1087;63;37;40;2;1000;3;Non;Non
1088;38;13;54;3;700;2;Non;Non
1089;59;35;95;1;3800;1;Non;Non
1090;53;29;94;4;1000;2;Non;Non
1091;31;5;79;4;2200;2;Non;Non
1092;41;17;48;3;300;3;Non;Non
1093;25;1;70;4;2600;1;Non;Non
1094;27;3;40;3;100;2;Non;Non
1095;50;24;44;4;1800;1;Non;Non
1096;50;25;43;1;1400;3;Non;Non
1097;43;18;29;1;300;3;Non;Non
1098;50;24;188;3;1300;1;Non;Oui
1100;30;6;52;3;700;2;Non;Non
1101;42;16;13;1;200;1;Non;Non
1102;42;17;95;3;500;3;Non;Non
1103;29;3;84;1;2900;3;Non;Non
1104;38;14;49;1;1800;1;Non;Non
1105;51;25;181;1;1700;1;Non;Non
1106;35;10;182;1;300;2;Oui;Oui
1107;37;13;70;2;2700;1;Non;Non
1108;47;21;79;3;1100;1;Non;Non
1109;55;29;61;4;2800;2;Non;Non
1110;65;41;121;2;2100;1;Non;Non
1111;58;33;34;3;200;1;Non;Non
1112;54;28;183;1;1000;1;Non;Non
1113;52;28;51;1;1600;3;Non;Non
1114;28;2;70;3;300;3;Non;Non
1115;32;8;39;1;1700;1;Non;Non
1116;51;24;84;3;2000;2;Non;Non
1117;43;18;122;1;7000;1;Non;Non
1118;42;18;145;1;1700;1;Non;Non
1119;42;17;98;2;400;1;Non;Non
1120;41;16;79;1;1000;3;Non;Non
1121;34;8;38;2;2000;3;Non;Non
1122;30;6;49;3;700;2;Non;Non
1123;32;7;38;1;1000;1;Non;Non
1124;46;20;91;4;2600;3;Non;Non
1125;38;12;29;4;200;1;Non;Non
1126;37;13;172;2;6500;1;Non;Non
1127;32;8;104;2;3700;1;Non;Oui
1128;35;9;58;1;2500;1;Non;Non
1129;30;5;171;2;1900;2;Non;Oui
1130;30;4;73;3;3300;1;Oui;Oui
1131;58;32;191;1;2900;1;Non;Non
1132;57;27;90;2;4500;3;Non;Non
1133;34;9;55;3;2300;1;Oui;Non
1134;31;4;28;1;2000;2;Non;Non
1135;39;14;42;1;2500;3;Non;Non
1136;57;33;9;1;100;2;Non;Non
1137;47;21;65;1;1500;2;Non;Non
1138;51;26;134;4;4500;3;Oui;Oui
1139;30;6;83;4;3400;1;Non;Non
1140;55;28;38;3;1000;2;Non;Non
1141;32;6;13;4;300;1;Non;Non
1142;32;7;143;3;2900;3;Non;Oui
1143;44;20;75;4;1900;1;Non;Non
1144;33;7;120;1;3200;3;Non;Oui
1145;49;24;91;1;2800;2;Non;Non
1146;32;6;99;2;1500;3;Non;Non
1147;31;7;71;1;100;1;Non;Non
1148;37;13;111;1;800;2;Non;Non
1149;41;15;108;1;5200;1;Non;Non
1150;56;32;158;1;7400;1;Non;Non
1151;55;31;81;3;2670;1;Non;Non
1152;49;23;12;2;100;3;Oui;Non
1153;63;37;21;2;400;1;Non;Non
1154;55;30;55;4;900;1;Non;Non
1155;59;35;42;1;1800;3;Non;Non
1156;41;16;81;2;400;1;Non;Non
1157;49;25;13;4;200;1;Non;Non
1158;48;23;132;1;600;1;Non;Non
1159;41;16;99;1;1000;3;Non;Non
1160;50;26;23;4;200;1;Non;Non
1161;28;1;40;1;2000;2;Non;Non
1162;36;11;181;3;1400;1;Non;Oui
1163;38;14;112;2;2200;1;Non;Non
1164;34;9;138;2;7800;1;Non;Non
1165;41;17;94;3;3800;2;Oui;Oui
1166;43;19;113;1;1700;1;Non;Non
1167;30;5;112;4;5000;2;Non;Oui
1168;37;12;190;2;3000;1;Non;Non
1169;62;37;38;1;1100;3;Non;Non
1170;40;16;32;1;1400;3;Non;Non
1171;35;10;104;3;600;2;Non;Non
1172;64;40;43;1;1900;2;Non;Non
1173;49;24;45;3;1700;2;Non;Non
1174;24;-1;35;2;1700;2;Non;Non
1175;36;10;42;4;1200;2;Non;Non
1176;29;4;58;1;800;2;Non;Non
1177;29;3;103;4;3400;1;Non;Oui
1178;28;3;71;1;3300;2;Oui;Oui
1179;33;7;14;1;400;2;Non;Non
1180;36;11;98;3;1200;3;Non;Non
1181;42;17;90;1;100;2;Non;Non
1182;25;0;65;4;200;1;Non;Non
1183;28;2;19;4;400;1;Non;Non
1184;50;25;35;3;1700;2;Non;Non
1185;34;9;71;4;1300;1;Non;Non
1186;43;19;31;3;500;1;Non;Non
1187;62;38;43;4;1200;2;Non;Non
1188;61;36;24;1;1500;2;Non;Non
1189;45;19;58;2;400;3;Non;Non
1190;42;17;115;2;400;1;Non;Non
1191;39;15;168;2;8000;1;Non;Non
1192;29;5;128;1;1500;1;Non;Non
1193;45;20;138;1;7000;1;Non;Non
1194;58;32;81;3;1700;2;Non;Non
1195;29;3;41;4;1300;3;Non;Non
1196;32;7;123;2;2900;2;Non;Oui
1197;37;13;71;2;2700;1;Non;Non
1198;48;23;8;1;400;3;Non;Non
1199;40;14;42;2;700;1;Non;Non
1200;29;4;62;2;2500;1;Non;Non
1201;36;12;22;4;1000;1;Non;Non
1202;35;8;38;4;1000;2;Non;Non
1203;35;11;24;4;400;2;Non;Non
1204;62;37;50;3;2400;1;Non;Non
1205;26;1;190;4;1300;2;Non;Oui
1206;32;7;94;2;3100;1;Non;Non
1207;63;37;165;4;5100;3;Non;Oui
1208;38;12;43;4;1200;2;Non;Non
1209;50;26;48;1;1600;2;Non;Non
1210;46;21;52;3;2700;2;Non;Non
1211;50;24;84;4;4900;1;Non;Non
1212;61;36;131;1;900;1;Non;Non
1213;34;8;44;4;200;1;Non;Non
1214;27;2;78;4;200;1;Non;Non
1215;61;36;15;4;400;2;Non;Non
1216;45;20;38;4;1900;3;Non;Non
1217;50;25;84;1;1300;3;Non;Non
1218;44;20;122;1;300;1;Non;Non
1219;62;36;98;2;2800;1;Non;Non
1220;45;18;80;3;2670;2;Non;Non
1221;41;17;165;2;8000;1;Non;Non
1222;30;5;121;2;3300;1;Non;Non
1223;61;37;20;3;400;2;Non;Non
1224;45;19;11;1;200;1;Non;Non
1225;59;35;45;1;1800;3;Non;Non
1226;30;6;118;2;2800;2;Non;Oui
1227;60;36;14;2;300;1;Non;Non
1228;39;13;30;3;200;2;Non;Non
1229;56;30;45;1;200;1;Non;Non
1230;56;32;80;3;2670;1;Non;Non
1231;27;1;25;4;300;2;Non;Non
1232;66;41;144;1;2500;1;Oui;Non
1233;43;19;84;4;200;3;Non;Non
1234;53;29;22;2;400;1;Non;Non
1235;44;18;33;3;1500;1;Non;Non
1236;54;28;60;4;2600;3;Non;Non
1237;31;6;81;4;2200;2;Non;Non
1238;38;13;169;1;6800;3;Oui;Oui
1239;28;2;63;2;1600;3;Non;Non
1240;51;26;12;2;700;3;Non;Non
1241;52;27;15;4;800;1;Non;Non
1242;64;38;39;1;500;3;Oui;Non
1243;29;4;44;4;2000;2;Non;Non
1244;34;10;110;1;4000;1;Non;Non
1245;33;8;130;3;6300;2;Non;Oui
1246;46;21;41;1;1400;3;Non;Non
1247;48;22;59;1;1400;3;Non;Non
1248;52;28;39;2;800;1;Non;Non
1250;51;27;80;1;2600;2;Non;Non
1251;47;20;81;1;2670;2;Non;Non
1252;39;13;31;2;800;3;Non;Non
1253;42;17;93;4;1900;3;Non;Non
1254;57;33;45;4;1500;1;Non;Non
1255;36;12;40;2;600;3;Non;Non
1256;27;1;80;2;1600;3;Non;Non
1257;31;7;20;1;400;3;Non;Non
1258;63;37;41;1;500;3;Non;Non
1259;34;8;31;1;300;1;Non;Non
1260;52;27;35;4;200;2;Non;Non
1261;57;31;40;3;1400;3;Non;Non
1262;63;39;84;1;1800;3;Non;Non
1263;26;1;53;2;1600;3;Non;Non
1264;35;5;85;4;4000;3;Non;Non
1265;58;33;138;2;3900;1;Non;Non
1266;32;2;71;2;1750;3;Non;Non
1267;64;39;113;1;800;3;Non;Non
1268;50;23;23;2;1000;2;Non;Non
1269;34;9;62;3;2300;1;Non;Non
1270;36;11;14;4;200;3;Non;Non
1271;43;18;60;2;2200;3;Non;Non
1272;28;4;94;3;800;1;Non;Non
1273;64;39;83;3;1800;2;Non;Non
1274;60;35;130;3;6300;3;Oui;Oui
1275;62;37;61;4;1700;1;Non;Non
1276;27;2;92;2;3100;1;Non;Non
1277;42;16;20;2;800;3;Non;Non
1278;45;20;194;2;8800;1;Non;Non
1279;36;10;74;1;2500;1;Non;Non
1280;48;22;84;2;400;3;Non;Non
1281;65;40;98;3;1800;2;Non;Non
1282;39;15;52;3;2330;1;Non;Non
1283;51;26;55;1;1300;2;Non;Non
1284;30;6;64;4;3400;1;Non;Non
1285;65;40;128;1;2500;1;Non;Non
1286;38;13;113;4;1700;2;Non;Oui
1287;29;3;50;3;1100;2;Non;Non
1288;42;18;54;4;2200;2;Non;Non
1289;63;38;129;1;900;1;Non;Non
1290;46;21;82;4;400;1;Non;Non
1291;62;38;100;4;1700;2;Non;Non
1292;58;34;44;4;2200;1;Non;Non
1293;56;30;164;4;500;2;Oui;Oui
1294;56;31;81;2;3700;1;Non;Non
1295;34;10;71;1;100;1;Non;Non
1296;42;17;28;1;500;3;Non;Non
1297;30;6;80;3;1500;1;Non;Non
1298;61;35;90;4;1900;2;Non;Non
1299;38;14;74;1;3600;2;Non;Non
1300;50;25;14;2;700;3;Non;Non
1301;61;36;23;2;500;2;Non;Non
1302;41;17;153;1;1700;1;Non;Non
1303;42;16;38;3;900;3;Non;Non
1304;29;5;112;2;2000;2;Non;Non
1305;51;26;145;1;8100;1;Non;Non
1306;32;6;28;2;300;2;Non;Non
1307;34;9;31;4;1100;3;Non;Non
1308;26;2;195;1;6330;1;Non;Non
1309;54;24;50;3;2000;3;Non;Non
1310;38;14;71;4;2000;3;Non;Non
1311;62;36;21;3;300;3;Non;Non
1312;37;11;35;2;800;3;Non;Non
1313;46;21;42;1;2400;1;Non;Non
1314;52;27;78;4;3600;3;Non;Non
1315;32;6;73;4;2200;2;Non;Non
1316;49;25;53;2;1000;3;Non;Non
1317;28;3;51;2;1600;3;Non;Non
1318;55;30;40;2;2300;3;Non;Non
1319;52;26;178;1;1000;1;Non;Non
1320;32;6;35;2;300;1;Non;Non
1322;27;3;123;1;5400;1;Non;Non
1323;32;5;48;2;1670;2;Oui;Non
1324;52;26;45;3;600;2;Non;Non
1325;52;28;15;1;200;1;Non;Non
1326;50;24;79;1;300;1;Non;Non
1327;32;5;63;4;2000;2;Non;Non
1328;61;35;30;2;200;3;Non;Non
1329;60;36;145;4;6900;1;Non;Oui
1330;28;4;32;3;1000;2;Non;Non
1331;34;9;64;2;100;1;Non;Non
1332;31;7;84;1;100;1;Non;Non
1333;31;5;21;1;400;2;Non;Non
1334;62;38;99;4;1700;2;Non;Non
1335;47;22;35;2;1300;1;Non;Non
1336;50;24;180;1;1700;1;Non;Non
1337;36;12;42;1;1330;1;Non;Non
1338;26;0;179;4;2100;2;Non;Oui
1339;51;27;42;4;100;3;Non;Non
1340;52;25;180;2;9000;2;Non;Oui
